id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,lyrical_intensity,lyrical_theme,youtube_id
249,Tennessee Whiskey,Chris Stapleton,country,romantic,0.55,84,0.70,0.60,0.58,0.05,0.75,love,
250,Wagon Wheel,Old Crow Medicine Show,americana,happy,0.72,138,0.80,0.78,0.68,0.05,0.60,nostalgia,
251,No Woman No Cry,Bob Marley,reggae,peaceful,0.55,68,0.65,0.60,0.65,0.10,0.70,reflection,
252,Redemption Song,Bob Marley,reggae,hopeful,0.38,76,0.62,0.50,0.88,0.05,0.80,motivation,
253,What I Got,Sublime,ska punk,fun,0.68,102,0.78,0.75,0.45,0.05,0.60,love,
254,Guns of Navarone,The Skatalites,ska,fun,0.80,152,0.80,0.85,0.45,0.25,0.00,none,
255,Papaoutai,Stromae,electropop,melancholic,0.70,130,0.50,0.75,0.08,0.15,0.65,loss,
256,Alors on danse,Stromae,electropop,dark,0.78,128,0.45,0.80,0.08,0.15,0.65,struggle,
257,Sinnerman,Nina Simone,soul,intense,0.70,130,0.45,0.65,0.65,0.15,0.85,struggle,
258,The Four Seasons - Spring,Antonio Vivaldi,baroque,happy,0.55,120,0.82,0.55,0.98,1.00,0.00,none,
259,Toccata and Fugue in D minor,Johann Sebastian Bach,baroque,intense,0.70,100,0.28,0.42,0.98,1.00,0.00,none,
260,Spiegel im Spiegel,Arvo Part,minimalism,peaceful,0.12,48,0.62,0.15,0.99,1.00,0.00,none,
261,Music for 18 Musicians,Steve Reich,minimalism,peaceful,0.48,120,0.68,0.58,0.85,0.98,0.00,none,
262,Symphony No. 5,Ludwig van Beethoven,classical,epic,0.82,108,0.42,0.52,0.98,1.00,0.00,none,
263,Rhapsody in Blue,George Gershwin,contemporary classical,epic,0.68,80,0.65,0.55,0.85,0.92,0.00,none,
264,The Rite of Spring,Igor Stravinsky,contemporary classical,intense,0.88,100,0.30,0.58,0.90,0.98,0.00,none,
265,Take the A Train,Duke Ellington,big band,fun,0.72,210,0.80,0.78,0.85,0.85,0.00,none,
266,Sing Sing Sing,Benny Goodman,big band,fun,0.85,220,0.82,0.85,0.80,0.85,0.00,none,
267,Giant Steps,John Coltrane,bebop,intense,0.72,286,0.55,0.68,0.90,0.95,0.00,none,
268,Birdland,Weather Report,fusion jazz,epic,0.78,145,0.78,0.78,0.35,0.88,0.00,none,
269,Lingus,Snarky Puppy,nu jazz,intense,0.82,150,0.72,0.78,0.45,0.75,0.00,none,
270,The Koln Concert Pt. 1,Keith Jarrett,nu jazz,reflective,0.35,75,0.52,0.42,0.95,0.98,0.00,none,
271,Welcome to the Black Parade,My Chemical Romance,emo,epic,0.85,96,0.50,0.65,0.12,0.05,0.90,struggle,
272,Sugar We're Goin Down,Fall Out Boy,emo,fun,0.78,152,0.55,0.72,0.10,0.05,0.80,love,
273,Misery Business,Paramore,emo,intense,0.88,173,0.50,0.78,0.08,0.05,0.85,struggle,
274,All the Small Things,Blink-182,pop punk,fun,0.82,148,0.72,0.85,0.08,0.05,0.65,love,
275,Smells Like Teen Spirit,Nirvana,grunge,intense,0.85,117,0.38,0.72,0.08,0.05,0.80,reflection,
276,Black Hole Sun,Soundgarden,grunge,dark,0.55,92,0.32,0.52,0.25,0.05,0.78,darkness,
277,Would?,Alice in Chains,grunge,dark,0.75,110,0.28,0.58,0.12,0.05,0.82,darkness,
278,In Too Deep,Sum 41,pop punk,fun,0.82,168,0.65,0.80,0.08,0.05,0.70,love,
279,What's Going On,Marvin Gaye,soul,peaceful,0.55,96,0.68,0.62,0.35,0.05,0.75,reflection,
280,Respect,Aretha Franklin,soul,intense,0.88,114,0.82,0.85,0.30,0.05,0.70,motivation,
281,My Girl,The Temptations,motown,happy,0.70,100,0.88,0.75,0.35,0.05,0.65,love,
282,Lean On Me,Bill Withers,soul,hopeful,0.55,76,0.80,0.58,0.45,0.05,0.70,motivation,
283,Ain't No Sunshine,Bill Withers,soul,sad,0.45,80,0.35,0.50,0.62,0.05,0.80,loss,
284,Oh Happy Day,Edwin Hawkins Singers,gospel,happy,0.82,110,0.90,0.80,0.45,0.05,0.75,celebration,
285,Feeling Good,Nina Simone,jazz,epic,0.62,100,0.68,0.60,0.55,0.08,0.75,motivation,
286,White Rabbit,Jefferson Airplane,psychedelic rock,intense,0.65,115,0.42,0.58,0.25,0.10,0.70,abstract,
287,Purple Haze,Jimi Hendrix,psychedelic rock,aggressive,0.85,107,0.55,0.68,0.12,0.05,0.65,abstract,
288,In the Court of the Crimson King,King Crimson,progressive rock,dark,0.55,108,0.35,0.42,0.30,0.45,0.60,abstract,
289,Autobahn,Kraftwerk,krautrock,peaceful,0.55,115,0.58,0.62,0.05,0.88,0.00,none,
290,Trans-Europe Express,Kraftwerk,krautrock,dark,0.62,120,0.42,0.68,0.05,0.92,0.00,none,
291,Shine On You Crazy Diamond,Pink Floyd,progressive rock,emotional,0.50,62,0.42,0.38,0.45,0.50,0.55,reflection,
292,Unknown Pleasures,Joy Division,post-punk,dark,0.60,105,0.22,0.52,0.12,0.25,0.65,darkness,
293,The Sound of Silence,Simon & Garfunkel,folk revival,melancholic,0.32,75,0.32,0.35,0.82,0.05,0.85,reflection,
294,Blowin' in the Wind,Bob Dylan,folk revival,hopeful,0.35,80,0.55,0.45,0.88,0.05,0.88,motivation,
295,Drunken Sailor,Traditional,sea shanty,fun,0.75,140,0.72,0.78,0.82,0.05,0.55,celebration,
296,Wellerman,Nathan Evans,sea shanty,epic,0.72,130,0.70,0.75,0.78,0.05,0.65,struggle,
297,The Parting Glass,Traditional,celtic,melancholic,0.28,65,0.45,0.32,0.92,0.05,0.80,reflection,
298,Libertango,Astor Piazzolla,tango nuevo,intense,0.70,125,0.45,0.58,0.72,0.80,0.00,none,
299,Por Una Cabeza,Carlos Gardel,tango,romantic,0.45,90,0.48,0.48,0.82,0.55,0.35,love,
300,Estranha Forma de Vida,Amalia Rodrigues,fado,melancholic,0.38,80,0.28,0.40,0.80,0.15,0.85,loss,
